,positive,negative,compound,actual_returns,target_return,Close
2022-05-31 01:02:00+00:00,51,30,0.3145742424242424,-0.0003490660056413297,-0.00024045134065542317,31563.19140625
2022-05-31 01:04:00+00:00,51,32,0.2899296875,-0.00024045134065542317,3.031717831958325e-05,31557.3984375
2022-05-31 01:06:00+00:00,44,36,0.2494953125,3.031717831958325e-05,-0.0001840528904284433,31568.25
2022-05-31 01:08:00+00:00,37,28,0.2141156862745098,-0.0001840528904284433,0.00010488305168476764,31564.173828125
2022-05-31 01:09:00+00:00,9,2,0.5533333333333332,0.00010488305168476764,-0.0003099139294339137,31567.484375
2022-05-31 01:10:00+00:00,22,15,0.17504545454545456,-0.0003099139294339137,-0.0002537514521855355,31557.701171875
2022-05-31 01:11:00+00:00,26,18,0.16556216216216216,-0.0002537514521855355,0.00011180279027822593,31549.693359375
2022-05-31 01:12:00+00:00,8,6,0.23922500000000002,0.00011180279027822593,-0.0002248804707374319,31553.220703125
2022-05-31 01:13:00+00:00,46,22,0.3084620689655172,-0.0002248804707374319,-2.6186849298559522e-05,31546.125
2022-05-31 01:15:00+00:00,51,35,0.24887323943661974,-2.6186849298559522e-05,-0.00035080242340845835,31548.287109375
2022-05-31 01:17:00+00:00,52,30,0.3070208333333333,-0.00035080242340845835,-0.00044373987134016524,31546.044921875
2022-05-31 01:19:00+00:00,58,38,0.32135526315789475,-0.00044373987134016524,5.1108598151161644e-05,31527.216796875
2022-05-31 01:21:00+00:00,44,31,0.19476000000000002,5.1108598151161644e-05,0.000127610098864972,31529.146484375
2022-05-31 01:22:00+00:00,6,2,0.4813,0.000127610098864972,-0.00015682890468204924,31533.169921875
2022-05-31 01:23:00+00:00,14,16,0.00229285714285716,-0.00015682890468204924,-0.0001574729884575854,31528.224609375
2022-05-31 01:24:00+00:00,24,14,0.33915172413793104,-0.0001574729884575854,-0.00016071961744024144,31523.259765625
2022-05-31 01:25:00+00:00,18,14,0.13924,-0.00016071961744024144,0.0005704790418976646,31518.193359375
2022-05-31 01:26:00+00:00,31,13,0.2423357142857143,0.0005704790418976646,0.0005458781586575867,31536.173828125
2022-05-31 01:28:00+00:00,48,32,0.2139985294117647,0.0005458781586575867,4.14541189219797e-06,31564.009765625
2022-05-31 01:30:00+00:00,50,26,0.3291469696969697,4.14541189219797e-06,0.00012462133275903398,31567.41015625
2022-05-31 01:32:00+00:00,56,28,0.3415123287671233,0.00012462133275903398,-0.00033801479492368003,31568.302734375
2022-05-31 01:34:00+00:00,56,30,0.2716,-0.00033801479492368003,-0.00018026905651935543,31549.98828125
2022-05-31 01:36:00+00:00,20,17,0.05456285714285715,-0.00018026905651935543,-0.0004181856907927717,31544.375
2022-05-31 01:37:00+00:00,27,18,0.2676694444444444,-0.0004181856907927717,-0.0007408960103112427,31531.18359375
2022-05-31 01:38:00+00:00,7,5,0.23301666666666668,-0.0007408960103112427,-0.00026667484915854356,31507.822265625
2022-05-31 01:39:00+00:00,40,30,0.21072545454545455,-0.00026667484915854356,0.0003032213890357127,31499.419921875
2022-05-31 01:41:00+00:00,45,34,0.148528125,0.0003032213890357127,0.00042076046918482213,31481.494140625
2022-05-31 01:43:00+00:00,60,25,0.2799328947368421,0.00042076046918482213,0.00019105347606007683,31499.20703125
2022-05-31 01:45:00+00:00,45,30,0.212421875,0.00019105347606007683,0.0001525213779380863,31502.84375
2022-05-31 01:47:00+00:00,49,28,0.18661449275362318,0.0001525213779380863,0.0004745874821789897,31519.34375
2022-05-31 01:49:00+00:00,45,19,0.3523,0.0004745874821789897,0.00014936840757862058,31539.048828125
2022-05-31 01:50:00+00:00,12,8,0.3859666666666667,0.00014936840757862058,3.0215960528545693e-05,31543.759765625
2022-05-31 01:51:00+00:00,23,12,0.2971931034482759,3.0215960528545693e-05,-0.00022518878677479925,31544.712890625
2022-05-31 01:52:00+00:00,44,16,0.47925,-0.00022518878677479925,4.6075940085321676e-05,31537.609375
2022-05-31 01:53:00+00:00,4,2,0.39045,4.6075940085321676e-05,-2.9229625959859007e-05,31539.0625
2022-05-31 01:54:00+00:00,56,37,0.2000657142857143,-2.9229625959859007e-05,4.191943456199887e-05,31538.140625
2022-05-31 01:56:00+00:00,53,41,0.11077466666666666,4.191943456199887e-05,5.3993483754233296e-05,31544.34375
2022-05-31 01:58:00+00:00,60,24,0.3457368421052632,5.3993483754233296e-05,2.8162540318010798e-05,31544.861328125
2022-05-31 02:02:00+00:00,47,24,0.3468706896551724,2.8162540318010798e-05,-6.220341966545195e-05,31555.9921875
2022-05-31 02:03:00+00:00,7,6,0.40452000000000005,-6.220341966545195e-05,-0.00010516436249008443,31554.029296875
2022-05-31 02:04:00+00:00,35,21,0.3320739130434783,-0.00010516436249008443,0.00026711709893612046,31550.7109375
2022-05-31 02:05:00+00:00,19,11,0.2746,0.00026711709893612046,-0.0003146993562866962,31559.138671875
2022-05-31 02:06:00+00:00,16,10,0.2453190476190476,-0.0003146993562866962,-0.0004149024644909405,31549.20703125
2022-05-31 02:07:00+00:00,37,15,0.3670454545454545,-0.0004149024644909405,0.00032434289751615,31536.1171875
2022-05-31 02:08:00+00:00,4,2,0.23234,0.00032434289751615,0.00017861864819557205,31546.345703125
2022-05-31 02:09:00+00:00,46,38,0.22044285714285716,0.00017861864819557205,0.00012460890344856423,31551.98046875
2022-05-31 02:11:00+00:00,53,31,0.26925000000000004,0.00012460890344856423,0.000526401369695062,31571.451171875
2022-05-31 02:13:00+00:00,45,26,0.35934736842105264,0.000526401369695062,0.00011576767473542304,31595.27734375
2022-05-31 02:15:00+00:00,44,24,0.33162545454545456,0.00011576767473542304,0.0002653757891746267,31603.1796875
2022-05-31 02:16:00+00:00,7,1,0.48760000000000003,0.0002653757891746267,-0.00011813318429110264,31611.56640625
2022-05-31 02:17:00+00:00,25,24,0.19266410256410257,-0.00011813318429110264,-5.684904292779791e-05,31607.83203125
2022-05-31 02:18:00+00:00,21,10,0.3272925925925926,-5.684904292779791e-05,6.612166757680171e-06,31606.03515625
2022-05-31 02:19:00+00:00,9,6,0.23500833333333335,6.612166757680171e-06,-6.982896291574114e-05,31606.244140625
2022-05-31 02:20:00+00:00,44,18,0.31188518518518515,-6.982896291574114e-05,0.00012965610171322695,31604.037109375
2022-05-31 02:21:00+00:00,2,2,0.28376666666666667,0.00012965610171322695,8.626141720213809e-05,31608.134765625
2022-05-31 02:22:00+00:00,48,33,0.12910857142857143,8.626141720213809e-05,-6.67813295711639e-05,31610.861328125
2022-05-31 02:24:00+00:00,57,26,0.3636506666666667,-6.67813295711639e-05,5.330521354629525e-05,31613.43359375
2022-05-31 02:26:00+00:00,52,27,0.3554424242424242,5.330521354629525e-05,0.00012160471784317117,31622.361328125
2022-05-31 02:28:00+00:00,60,29,0.3520013888888889,0.00012160471784317117,0.00014991869627545285,31628.466796875
2022-05-31 02:30:00+00:00,43,24,0.3647075471698113,0.00014991869627545285,0.00039295282781881546,31636.470703125
2022-05-31 02:31:00+00:00,23,11,0.38715,0.00039295282781881546,-0.00026227706603665357,31648.90234375
2022-05-31 02:32:00+00:00,23,8,0.4023,-0.00026227706603665357,-3.4876569044328676e-05,31640.6015625
2022-05-31 02:33:00+00:00,35,27,0.27267608695652173,-3.4876569044328676e-05,-0.00019956700381884573,31639.498046875
2022-05-31 02:35:00+00:00,59,27,0.3637,-0.00019956700381884573,0.0003586265935202615,31624.66796875
2022-05-31 02:37:00+00:00,50,37,0.22546428571428573,0.0003586265935202615,-0.0004026408250636937,31642.43359375
2022-05-31 02:39:00+00:00,48,32,0.12304722222222224,-0.0004026408250636937,2.6931887280312594e-05,31628.9453125
2022-05-31 02:41:00+00:00,59,30,0.3523689189189189,2.6931887280312594e-05,-0.0003311016505540554,31619.96875
2022-05-31 02:43:00+00:00,39,14,0.29640833333333333,-0.0003311016505540554,-4.325520907033642e-05,31607.46484375
2022-05-31 02:44:00+00:00,13,5,0.25456875,-4.325520907033642e-05,0.00018977499026395783,31606.09765625
2022-05-31 02:45:00+00:00,24,12,0.31666,0.00018977499026395783,0.00026338563419492367,31612.095703125
2022-05-31 02:46:00+00:00,32,10,0.3611157894736842,0.00026338563419492367,0.00010929305240114928,31620.421875
2022-05-31 02:48:00+00:00,61,19,0.4406257142857143,0.00010929305240114928,-5.434742041909857e-05,31634.298828125
2022-05-31 02:50:00+00:00,52,31,0.24962328767123287,-5.434742041909857e-05,-0.0001575815611063458,31659.453125
2022-05-31 02:52:00+00:00,54,27,0.2441146666666667,-0.0001575815611063458,4.4473643937781304e-05,31650.24609375
2022-05-31 02:54:00+00:00,55,26,0.24480684931506846,4.4473643937781304e-05,-7.220064800539383e-05,31665.17578125
2022-05-31 02:56:00+00:00,42,21,0.28243684210526315,-7.220064800539383e-05,0.0001388005071059073,31674.84375
2022-05-31 02:57:00+00:00,11,5,0.25611538461538463,0.0001388005071059073,0.00026936261923804494,31679.240234375
2022-05-31 02:58:00+00:00,32,16,0.2723428571428571,0.00026936261923804494,0.0001081105069360433,31687.7734375
2022-05-31 02:59:00+00:00,20,13,0.16352068965517244,0.0001081105069360433,-4.8502720404797195e-05,31691.19921875
2022-05-31 03:00:00+00:00,9,2,0.45137,-4.8502720404797195e-05,4.5978125136514336e-05,31689.662109375
2022-05-31 03:01:00+00:00,61,21,0.4311188405797101,4.5978125136514336e-05,0.0002227187276313547,31691.119140625
2022-05-31 03:03:00+00:00,40,32,0.17898870967741937,0.0002227187276313547,-7.3927032294696104e-06,31699.919921875
2022-05-31 03:05:00+00:00,42,33,0.18371846153846155,-7.3927032294696104e-06,0.0008413238981201943,31703.32421875
2022-05-31 03:07:00+00:00,51,24,0.29609848484848483,0.0008413238981201943,0.00013572011987683652,31733.5859375
2022-05-31 03:09:00+00:00,51,23,0.37658461538461535,0.00013572011987683652,0.0001483179604742091,31736.083984375
2022-05-31 03:10:00+00:00,4,1,0.428,0.0001483179604742091,7.624012501161737e-05,31740.791015625
2022-05-31 03:11:00+00:00,35,10,0.3391769230769231,7.624012501161737e-05,-1.1136731747019013e-05,31743.2109375
2022-05-31 03:12:00+00:00,24,11,0.2560866666666667,-1.1136731747019013e-05,-7.352785995229372e-05,31742.857421875
2022-05-31 03:13:00+00:00,14,3,0.4406466666666667,-7.352785995229372e-05,-2.4490577527180868e-05,31740.5234375
2022-05-31 03:14:00+00:00,49,20,0.36502456140350875,-2.4490577527180868e-05,0.0010514037236477591,31739.74609375
2022-05-31 03:16:00+00:00,51,22,0.3454032786885246,0.0010514037236477591,-4.47457598782286e-05,31776.65234375
2022-05-31 03:18:00+00:00,50,30,0.18165714285714285,-4.47457598782286e-05,-0.0007070128706215817,31775.33203125
